fecha,nacional,ciudad_de_mexico
2013-09-30,29.224294729056787,41.74083340576733
2013-12-31,31.425971039955602,34.01104071871392
2014-03-31,27.944853791048562,23.835145829343457
2014-06-30,30.262501605849913,25.867241114699873
2014-09-30,31.268088527568143,42.04180183055987
2014-12-31,32.34234154257403,29.78258117108204
2015-03-31,31.916246154614303,32.48086274648866
2015-06-30,31.216817652961804,28.93439538472084
2015-09-30,31.37185842228029,36.057851295282994
2015-12-31,32.15417713378716,30.937576859327383
2016-03-31,33.16076445732588,17.09115602613763
2016-06-30,34.048819000450216,14.11182695507679
2016-09-30,31.30055960905733,13.584906919291374
2016-12-31,29.448565144266407,11.055219990792866
2017-03-31,30.592993157272293,11.25004490715092
2017-06-30,27.73932298326142,13.369382159412488
2017-09-30,27.303901050498265,9.054575980249979
2017-12-31,27.380615969357248,8.980911101261833
2018-03-31,26.6036825561791,7.366202189959554
2018-06-30,27.552436595407425,8.277568814769328
2018-09-30,26.490011609139664,17.443789792716892
2018-12-31,28.005955866732172,17.033893518887254
2019-03-31,27.26033366620193,16.195554897435834
2019-06-30,28.279829809269625,15.089284340482681
2019-09-30,29.62975062736134,23.13966249082099
2019-12-31,27.958164854478827,21.127925098529975
2020-03-31,27.002322453168006,22.315115648887303
2020-09-30,33.03241268099997,25.637789038619722
2020-12-31,32.290653286439714,28.150504394098245
2021-03-31,34.063802996659234,28.817053385954733
2021-06-30,33.50344015140625,31.360435583892944
2021-09-30,35.814311842028445,32.728933286190234
2021-12-31,34.152099261327315,33.01729407029475
2022-03-31,33.78546503921773,32.35747208132761
2022-06-30,31.68375290628425,36.12120545867263
2022-09-30,34.50781480296609,39.2108175437884
2022-12-31,34.439948929595296,39.97853687070465
2023-03-31,36.69479437646519,42.598814962565825
2023-06-30,36.903796740139946,40.200498424563754
2023-09-30,37.60122476924031,42.307941459993806
2023-12-31,39.80564645638419,44.030764692592726
2024-03-31,37.867374676689195,41.15459871171716
